bin1	bin2	Case	Ctrl	Tstat	Pvalue	Ctrl.ll	Ctrl.h	Ctrl.v	FDR
3	36	407.122244525547	380.361911928901	2.03301508464916	0.0428712231937539	367.205400942677	420.799997026129	361.500633744131	0.0800783667855995
3	37	408.815034482759	376.295836261219	2.11664834255449	0.0352304178232441	364.982522885335	410.445966132898	376.752624125561	0.0682953726124353
3	38	417.577489243028	375.60000507801	3.11758408351586	0.00200332419174687	365.828419140048	408.208150844227	374.495325659649	0.00624610584499024
3	39	419.548716236162	375.96518867104	3.17053322830849	0.00167041916896868	367.412829857473	405.686964234528	382.946007199377	0.00540915231869995
3	40	407.793876303318	376.639010132821	2.17461607032777	0.030618963405149	368.796337577066	404.189338241042	372.677800157233	0.0618412561384782
3	41	416.628896370968	378.643368789626	2.55527515063086	0.0111299441509878	370.50915382092	402.159505418024	379.049540984556	0.0262257304707184
4	5	275.36615045045	373.645229494312	-6.33976491739637	9.81952900378836e-10	NA	417.464288903986	NA	1.46400250601936e-08
4	6	318.326557971014	378.472490635954	-3.83842530623316	0.000156929547993136	NA	425.208890706522	NA	0.000779892299117402
4	7	354.300686861314	375.28447851053	-1.60438904958558	0.109507367190232	NA	427.0957966215	NA	0.177462531810257
4	8	362.758220416667	373.435669828333	-0.725443398443876	0.468760132018514	NA	429.394608070652	NA	0.562786688514174
4	9	379.118044690265	370.416299381749	0.578952625608566	0.563102131612315	NA	428.102920031617	NA	0.637767607627208
4	10	381.803915328467	371.996140182058	0.742892868151865	0.458051624248721	NA	410.386717016429	292.93126552901	0.552356370417576
4	11	409.357192307692	370.321156412182	2.61084143986576	0.00952586736203059	279.753526574307	402.186447050443	286.159859214502	0.022839798938202
4	12	414.711964529915	370.062803684389	2.96132835073651	0.00333437408635692	280.989126012891	398.445697292923	292.246570126582	0.0094608538090404
4	13	427.514910967742	371.748104235119	4.03846294354999	6.54393073981076e-05	288.900963502001	397.291009651521	301.220422547043	0.000360135785680861
4	14	436.88027944664	371.768614888713	4.76120289557	2.99268464322899e-06	291.908588746986	400.504226816821	311.520945224057	2.40588373279193e-05
4	15	417.508819615385	373.873029648215	3.07007081603145	0.0023324946611185	305.024427115068	402.450697332587	303.575395735294	0.00703178537543077
4	16	432.541890311419	375.513394455039	4.06651668400944	5.93878596047246e-05	311.43736436187	413.015050509718	333.023524414966	0.000338180867193571
4	17	429.270307423581	377.436514597227	3.31276621860374	0.00105463119908165	325.390253644614	421.599955180531	340.4045225875	0.00371157761050196
4	18	414.549765503876	378.031185668348	2.59593419853752	0.00989155116169443	334.945591513445	425.369751152174	344.177652182092	0.0236474400950129
4	19	411.910070607029	378.282479267306	2.63037897580544	0.00887396450633736	339.906297641358	427.393527166622	350.304726343788	0.0214019143976371
4	20	444.843102654867	378.289863541373	3.80991104697603	0.000175101702379932	348.176021014229	424.977227145016	369.637057569975	0.000849605893204405
4	21	421.33168515625	377.407240326059	3.20147101039505	0.00151290602474222	355.553746390658	425.088595355918	362.151800853659	0.00502260299711992
4	22	437.99802375	375.28559387854	4.92772099876619	1.23344651268316e-06	357.457577143731	421.544868744015	345.292179080566	1.09937623956543e-05
4	23	455.801695964126	374.967018061057	5.15960749511114	5.00742743050985e-07	360.460661173144	417.575833505453	368.77507720639	4.83069469766833e-06
4	24	446.738642570281	375.79858112551	4.94591538694366	1.28900527445527e-06	363.958583024148	415.836368827308	350.186021300236	1.11261507900349e-05
4	25	448.757805351171	377.502472615021	5.34057258577194	1.65923220107861e-07	368.027014145613	415.266209219486	369.788446498683	1.86379507518419e-06
4	26	427.382686988848	379.419751230297	3.77310579724209	0.000191473436570205	372.999273194541	415.95494766611	353.235224924078	0.000918176713377591
