bin1	bin2	out.mean
20	31	331.708582101167
20	32	344.277858596491
20	33	356.825668035191
20	34	356.030961509434
20	35	387.53523812709
20	36	400.760461126761
20	37	398.613657342657
20	38	401.868190365449
20	39	395.050418318318
20	40	388.723517175573
20	41	403.81384537037
21	22	251.679980798005
21	23	315.801685121107
21	24	280.640154545455
21	25	353.209458981233
21	26	329.140267065868
21	27	327.067411714286
21	28	350.600401632653
21	29	331.102630463576
21	30	341.48761984127
21	31	334.128852631579
21	32	313.096906079027
21	33	352.158288916877
21	34	356.372440196078
21	35	366.528266096866
21	36	380.372659213759
21	37	388.627396594427
21	38	365.4473825
21	39	381.281921818182
21	40	393.122484918033
21	41	390.109454450262
22	23	230.542623163842
22	24	293.027754736842
22	25	334.910045089286
22	26	338.640936699507
22	27	328.93466563981
22	28	346.668435714286
22	29	348.214345152355
22	30	337.912015317287
22	31	331.413338416422
22	32	328.79127913486
22	33	329.413708659794
22	34	349.971202445652
22	35	370.048288395062
22	36	355.671674233129
22	37	374.997623604061
22	38	382.240443028846
22	39	371.585560606061
22	40	388.692277197802
22	41	394.789677455357
23	24	221.632567880795
23	25	331.634546687697
23	26	327.284063945578
23	27	332.075969871795
23	28	322.37404516129
23	29	343.851355390335
23	30	352.336039104478
23	31	331.505112403101
23	32	322.674834628975
23	33	347.180850434783
23	34	340.441208058608
23	35	357.2359375
23	36	365.217581303116
23	37	371.499057608696
23	38	374.88321147541
23	39	396.140761261261
23	40	386.67576254417
23	41	395.912750931677
24	25	271.126205882353
24	26	291.450783742331
24	27	306.926947878788
24	28	328.405951239669
24	29	321.206758503401
24	30	324.333651933702
24	31	326.863740808824
24	32	310.864903761755
24	33	339.026794255875
24	34	340.958006418919
24	35	335.087708411215
24	36	351.29044
24	37	367.043745276873
24	38	368.819110843373
24	39	379.988811924119
24	40	389.874345928339
24	41	382.291477932961
25	26	326.356406958763
25	27	314.368305050505
25	28	369.698472693727
25	29	357.605379341317
25	30	333.250260640732
25	31	345.576823824451
25	32	338.185160695187
25	33	338.067988418708
25	34	350.306269911504
25	35	369.26485408971
25	36	365.907411597374
25	37	389.996123013699
25	38	391.548270649351
25	39	383.713652173913
25	40	397.69971026393
25	41	412.413482619048
26	27	259.891348429319
26	28	314.192898854962
26	29	291.704657680251
26	30	330.611126992288
26	31	328.07956609589
26	32	309.848339465875
26	33	340.223950717703
26	34	358.044971604938
26	35	347.991686072423
